Service:Type,Service:Company,Service:Train number,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Departure time,Stop:Planned platform
Intercity,NS,21461,HLM,Haarlem,,2025-03-01T02:01:00+01:00,1
Intercity,NS,21461,ASD,Amsterdam Centraal,2025-03-01T02:14:00+01:00,,7a
Nightjet,NS Int,420,NURNB,Nürnberg Hbf,,2025-03-01T02:01:00+01:00,
Nightjet,NS Int,420,WURZB,Würzburg Hbf,2025-03-01T02:30:00+01:00,2025-03-01T02:32:00+01:00,
Nightjet,NS Int,420,FFFM,Frankfurt (M) Hbf,2025-03-01T04:55:00+01:00,2025-03-01T05:00:00+01:00,
Nightjet,NS Int,420,HAMM,Hamm (Westf.),2025-03-01T06:28:00+01:00,2025-03-01T06:30:00+01:00,
Nightjet,NS Int,420,MUNST,Münster (Westf) Hbf,2025-03-01T06:51:00+01:00,2025-03-01T06:54:00+01:00,
Nightjet,NS Int,420,RHEINE,Rheine,2025-03-01T07:14:00+01:00,2025-03-01T07:19:00+01:00,
Nightjet,NS Int,420,BH,Bad Bentheim,2025-03-01T07:40:00+01:00,2025-03-01T07:41:00+01:00,
Nightjet,NS Int,420,DV,Deventer,2025-03-01T08:34:00+01:00,2025-03-01T08:37:00+01:00,4
Nightjet,NS Int,420,AMF,Amersfoort Centraal,2025-03-01T09:13:00+01:00,2025-03-01T09:16:00+01:00,6
Nightjet,NS Int,420,ASD,Amsterdam Centraal,2025-03-01T09:50:00+01:00,,13a
Intercity,NS,1410,RTD,Rotterdam Centraal,,2025-03-01T02:02:00+01:00,7
Intercity,NS,1410,DT,Delft,2025-03-01T02:14:00+01:00,2025-03-01T02:14:00+01:00,1
Intercity,NS,1410,GV,Den Haag HS,2025-03-01T02:21:00+01:00,2025-03-01T02:22:00+01:00,6
Intercity,NS,1410,LEDN,Leiden Centraal,2025-03-01T02:36:00+01:00,2025-03-01T02:40:00+01:00,5b
Intercity,NS,1410,SHL,Schiphol Airport,2025-03-01T02:56:00+01:00,2025-03-01T03:03:00+01:00,2-Jan
Intercity,NS,1410,ASD,Amsterdam Centraal,2025-03-01T03:17:00+01:00,2025-03-01T03:19:00+01:00,8a
Intercity,NS,1410,UT,Utrecht Centraal,2025-03-01T03:48:00+01:00,,15
Stopbus ipv trein,NS,927240,GV,Den Haag HS,,2025-03-01T02:05:00+01:00,
Stopbus ipv trein,NS,927240,GVC,Den Haag Centraal,2025-03-01T02:15:00+01:00,,
Intercity,NS,21436,NM,Nijmegen,,2025-03-01T02:12:00+01:00,1a
Intercity,NS,21436,EST,Elst,2025-03-01T02:19:00+01:00,2025-03-01T02:19:00+01:00,2
Intercity,NS,21436,AH,Arnhem Centraal,2025-03-01T02:28:00+01:00,2025-03-01T02:35:00+01:00,9
Intercity,NS,21436,ED,Ede-Wageningen,2025-03-01T02:46:00+01:00,2025-03-01T02:46:00+01:00,3
Intercity,NS,1413,UT,Utrecht Centraal,2025-03-01T03:08:00+01:00,2025-03-01T03:16:00+01:00,5
Intercity,NS,1413,ASD,Amsterdam Centraal,2025-03-01T03:44:00+01:00,2025-03-01T03:46:00+01:00,8a
Intercity,NS,1413,SHL,Schiphol Airport,2025-03-01T04:01:00+01:00,2025-03-01T04:05:00+01:00,6-May
Intercity,NS,1413,LEDN,Leiden Centraal,2025-03-01T04:21:00+01:00,2025-03-01T04:23:00+01:00,8b
Intercity,NS,1413,GV,Den Haag HS,2025-03-01T04:37:00+01:00,2025-03-01T04:38:00+01:00,4
Intercity,NS,1413,DT,Delft,2025-03-01T04:45:00+01:00,2025-03-01T04:45:00+01:00,4
Intercity,NS,1413,RTD,Rotterdam Centraal,2025-03-01T04:57:00+01:00,,7
Intercity,NS,1409,UT,Utrecht Centraal,,2025-03-01T02:16:00+01:00,5
Intercity,NS,1409,ASD,Amsterdam Centraal,2025-03-01T02:44:00+01:00,2025-03-01T02:46:00+01:00,8a
Intercity,NS,1409,SHL,Schiphol Airport,2025-03-01T03:01:00+01:00,2025-03-01T03:05:00+01:00,6-May
Intercity,NS,1409,LEDN,Leiden Centraal,2025-03-01T03:21:00+01:00,2025-03-01T03:23:00+01:00,8b
Intercity,NS,1409,GV,Den Haag HS,2025-03-01T03:37:00+01:00,2025-03-01T03:38:00+01:00,4
Intercity,NS,1409,DT,Delft,2025-03-01T03:45:00+01:00,2025-03-01T03:45:00+01:00,4
Intercity,NS,1409,RTD,Rotterdam Centraal,2025-03-01T03:57:00+01:00,,8
Intercity,NS,21442,UT,Utrecht Centraal,,2025-03-01T02:19:00+01:00,7
Intercity,NS,21442,AMF,Amersfoort Centraal,2025-03-01T02:33:00+01:00,,2
Intercity,NS,21472,ASD,Amsterdam Centraal,,2025-03-01T02:37:00+01:00,11a
Intercity,NS,21472,AMR,Alkmaar,2025-03-01T03:04:00+01:00,,4
Intercity,NS,21462,ASD,Amsterdam Centraal,,2025-03-01T02:46:00+01:00,7a
Intercity,NS,21462,HLM,Haarlem,2025-03-01T02:59:00+01:00,,6
Intercity,NS,21445,AMF,Amersfoort Centraal,,2025-03-01T02:56:00+01:00,2
Intercity,NS,21445,UT,Utrecht Centraal,2025-03-01T03:10:00+01:00,,9
Intercity,NS,1414,RTD,Rotterdam Centraal,,2025-03-01T03:03:00+01:00,8
Intercity,NS,1414,DT,Delft,2025-03-01T03:14:00+01:00,2025-03-01T03:14:00+01:00,2
Intercity,NS,1414,GV,Den Haag HS,2025-03-01T03:21:00+01:00,2025-03-01T03:22:00+01:00,6
Intercity,NS,1414,LEDN,Leiden Centraal,2025-03-01T03:36:00+01:00,2025-03-01T03:40:00+01:00,5b
Intercity,NS,1414,SHL,Schiphol Airport,2025-03-01T03:56:00+01:00,2025-03-01T04:03:00+01:00,2-Jan
Intercity,NS,1414,ASD,Amsterdam Centraal,2025-03-01T04:17:00+01:00,2025-03-01T04:19:00+01:00,8a
Intercity,NS,1414,UT,Utrecht Centraal,2025-03-01T04:48:00+01:00,,19
Intercity,NS,21465,HLM,Haarlem,,2025-03-01T03:04:00+01:00,6a
Intercity,NS,21465,ASD,Amsterdam Centraal,2025-03-01T03:17:00+01:00,,7a
Intercity,NS,21475,AMR,Alkmaar,,2025-03-01T03:11:00+01:00,4
Intercity,NS,21475,ASD,Amsterdam Centraal,2025-03-01T03:38:00+01:00,,11a
Nightjet,NS Int,402,FFFM,Frankfurt (M) Hbf,,2025-03-01T03:13:00+01:00,
Nightjet,NS Int,402,FNAF,Frankfurt Flughafen Fernb,2025-03-01T03:25:00+01:00,2025-03-01T03:30:00+01:00,
Nightjet,NS Int,402,FMZ,Mainz Hbf,2025-03-01T03:47:00+01:00,2025-03-01T03:49:00+01:00,
Nightjet,NS Int,402,KKO,Koblenz Hbf,2025-03-01T04:41:00+01:00,2025-03-01T04:43:00+01:00,
Nightjet,NS Int,402,KBB,Bonn-Beuel,2025-03-01T05:28:00+01:00,2025-03-01T05:30:00+01:00,
Nightjet,NS Int,402,KOLN,Köln Hbf,2025-03-01T05:57:00+01:00,2025-03-01T06:02:00+01:00,
Nightjet,NS Int,402,MCGB,Mönchengladbach Hbf,2025-03-01T06:56:00+01:00,2025-03-01T06:58:00+01:00,
Nightjet,NS Int,402,KN,Kaldenkirchen,2025-03-01T07:23:00+01:00,2025-03-01T07:23:00+01:00,
Nightjet,NS Int,402,VL,Venlo,2025-03-01T07:29:00+01:00,2025-03-01T07:38:00+01:00,
Nightjet,NS Int,402,EHV,Eindhoven Centraal,2025-03-01T08:18:00+01:00,2025-03-01T08:23:00+01:00,5
Nightjet,NS Int,402,UT,Utrecht Centraal,2025-03-01T09:13:00+01:00,2025-03-01T09:16:00+01:00,5
Nightjet,NS Int,402,ASD,Amsterdam Centraal,2025-03-01T09:44:00+01:00,,7
Intercity,NS,1413,UT,Utrecht Centraal,,2025-03-01T03:16:00+01:00,5
Intercity,NS,1413,ASD,Amsterdam Centraal,2025-03-01T03:44:00+01:00,2025-03-01T03:46:00+01:00,8a
Intercity,NS,1413,SHL,Schiphol Airport,2025-03-01T04:01:00+01:00,2025-03-01T04:05:00+01:00,6-May
Intercity,NS,1413,LEDN,Leiden Centraal,2025-03-01T04:21:00+01:00,2025-03-01T04:23:00+01:00,8b
Intercity,NS,1413,GV,Den Haag HS,2025-03-01T04:37:00+01:00,2025-03-01T04:38:00+01:00,4
Intercity,NS,1413,DT,Delft,2025-03-01T04:45:00+01:00,2025-03-01T04:45:00+01:00,4
Intercity,NS,1413,RTD,Rotterdam Centraal,2025-03-01T04:57:00+01:00,,7
Intercity,NS,21446,UT,Utrecht Centraal,,2025-03-01T03:19:00+01:00,9
Intercity,NS,21446,AMF,Amersfoort Centraal,2025-03-01T03:33:00+01:00,,2
Intercity,NS,21466,ASD,Amsterdam Centraal,,2025-03-01T03:49:00+01:00,7a
Intercity,NS,21466,HLM,Haarlem,2025-03-01T04:02:00+01:00,,6
Intercity,NS,1418,RTD,Rotterdam Centraal,,2025-03-01T04:02:00+01:00,7
Intercity,NS,1418,DT,Delft,2025-03-01T04:14:00+01:00,2025-03-01T04:14:00+01:00,1
Intercity,NS,1418,GV,Den Haag HS,2025-03-01T04:21:00+01:00,2025-03-01T04:22:00+01:00,6
Intercity,NS,1418,LEDN,Leiden Centraal,2025-03-01T04:36:00+01:00,2025-03-01T04:40:00+01:00,5b
Intercity,NS,1418,SHL,Schiphol Airport,2025-03-01T04:56:00+01:00,2025-03-01T05:02:00+01:00,4
Intercity,NS,1418,ASD,Amsterdam Centraal,2025-03-01T05:16:00+01:00,2025-03-01T05:19:00+01:00,8a
Intercity,NS,1418,UT,Utrecht Centraal,2025-03-01T05:48:00+01:00,,5
Intercity,NS,1417,UT,Utrecht Centraal,,2025-03-01T04:16:00+01:00,7
Intercity,NS,1417,ASD,Amsterdam Centraal,2025-03-01T04:44:00+01:00,2025-03-01T04:47:00+01:00,8a
Intercity,NS,1417,SHL,Schiphol Airport,2025-03-01T05:01:00+01:00,2025-03-01T05:05:00+01:00,6-May
Intercity,NS,1417,LEDN,Leiden Centraal,2025-03-01T05:21:00+01:00,2025-03-01T05:23:00+01:00,8b
Intercity,NS,1417,GV,Den Haag HS,2025-03-01T05:37:00+01:00,2025-03-01T05:38:00+01:00,4
Intercity,NS,1417,DT,Delft,2025-03-01T05:45:00+01:00,2025-03-01T05:45:00+01:00,4
Intercity,NS,1417,RTD,Rotterdam Centraal,2025-03-01T05:57:00+01:00,,15
Stopbus ipv trein,Eurobahn,966028,VL,Venlo,,2025-03-01T04:25:00+01:00,
Stopbus ipv trein,Eurobahn,966028,KN,Kaldenkirchen,2025-03-01T04:35:00+01:00,2025-03-01T04:35:00+01:00,
Stopbus ipv trein,Eurobahn,966028,KBRY,Breyell,2025-03-01T04:44:00+01:00,2025-03-01T04:44:00+01:00,
Stopbus ipv trein,Eurobahn,966028,KBOI,Boisheim,2025-03-01T04:52:00+01:00,2025-03-01T04:52:00+01:00,
Stopbus ipv trein,Eurobahn,966028,KDUL,Dülken,2025-03-01T05:03:00+01:00,2025-03-01T05:03:00+01:00,
Stopbus ipv trein,Eurobahn,966028,VIERS,Viersen,2025-03-01T05:16:00+01:00,2025-03-01T05:16:00+01:00,
Stopbus ipv trein,Eurobahn,966028,MCGB,Mönchengladbach Hbf,2025-03-01T05:33:00+01:00,,
Stopbus ipv trein,VIAS,960069,AH,Arnhem Centraal,,2025-03-01T04:37:00+01:00,
Stopbus ipv trein,VIAS,960069,ZV,Zevenaar,2025-03-01T04:59:00+01:00,2025-03-01T04:59:00+01:00,
Stopbus ipv trein,VIAS,960069,EL,Emmerich-Elten,2025-03-01T05:11:00+01:00,2025-03-01T05:11:00+01:00,
Stopbus ipv trein,VIAS,960069,EM,Emmerich,2025-03-01T05:28:00+01:00,2025-03-01T05:29:00+01:00,
Stopbus ipv trein,VIAS,960069,WESEL,Wesel,2025-03-01T06:11:00+01:00,2025-03-01T06:13:00+01:00,
Stopbus ipv trein,VIAS,960069,OBERH,Oberhausen Hbf,2025-03-01T06:58:00+01:00,,
Sprinter,NS,5108,DDR,Dordrecht,,2025-03-01T04:42:00+01:00,3a
Sprinter,NS,5108,ZWD,Zwijndrecht,2025-03-01T04:45:00+01:00,2025-03-01T04:45:00+01:00,2
Sprinter,NS,5108,BRD,Barendrecht,2025-03-01T04:51:00+01:00,2025-03-01T04:51:00+01:00,2
Sprinter,NS,5108,RLB,Rotterdam Lombardijen,2025-03-01T04:54:00+01:00,2025-03-01T04:54:00+01:00,2
Sprinter,NS,5108,RTZ,Rotterdam Zuid,2025-03-01T04:58:00+01:00,2025-03-01T04:58:00+01:00,2
Sprinter,NS,5108,RTB,Rotterdam Blaak,2025-03-01T05:01:00+01:00,2025-03-01T05:01:00+01:00,2
Sprinter,NS,5108,RTD,Rotterdam Centraal,2025-03-01T05:04:00+01:00,,6
Stopbus ipv trein,NS,927241,GVC,Den Haag Centraal,,2025-03-01T04:44:00+01:00,
Stopbus ipv trein,NS,927241,GV,Den Haag HS,2025-03-01T04:54:00+01:00,,
Sprinter,NS,4308,LLS,Lelystad Centrum,,2025-03-01T04:45:00+01:00,2
Sprinter,NS,4308,ALMO,Almere Oostvaarders,2025-03-01T04:55:00+01:00,2025-03-01T04:55:00+01:00,1
Sprinter,NS,4308,ALMB,Almere Buiten,2025-03-01T04:58:00+01:00,2025-03-01T04:58:00+01:00,1
Sprinter,NS,4308,ALMP,Almere Parkwijk,2025-03-01T05:01:00+01:00,2025-03-01T05:01:00+01:00,1
Sprinter,NS,4308,ALM,Almere Centrum,2025-03-01T05:04:00+01:00,2025-03-01T05:05:00+01:00,1
Sprinter,NS,4308,ALMM,Almere Muziekwijk,2025-03-01T05:08:00+01:00,2025-03-01T05:08:00+01:00,1
Sprinter,NS,4308,AMPO,Almere Poort,2025-03-01T05:12:00+01:00,2025-03-01T05:12:00+01:00,1
Sprinter,NS,4308,WP,Weesp,2025-03-01T05:18:00+01:00,2025-03-01T05:21:00+01:00,6
Sprinter,NS,4308,DMNZ,Diemen Zuid,2025-03-01T05:27:00+01:00,2025-03-01T05:27:00+01:00,2
Sprinter,NS,4308,DVD,Duivendrecht,2025-03-01T05:30:00+01:00,2025-03-01T05:30:00+01:00,4
Sprinter,NS,4308,RAI,Amsterdam RAI,2025-03-01T05:34:00+01:00,2025-03-01T05:34:00+01:00,4
Sprinter,NS,4308,ASDZ,Amsterdam Zuid,2025-03-01T05:37:00+01:00,2025-03-01T05:38:00+01:00,4
Sprinter,NS,4308,SHL,Schiphol Airport,2025-03-01T05:44:00+01:00,2025-03-01T05:45:00+01:00,6-May
Sprinter,NS,4308,HFD,Hoofddorp,2025-03-01T05:50:00+01:00,2025-03-01T05:50:00+01:00,1
Sprinter,NS,4308,NVP,Nieuw Vennep,2025-03-01T05:55:00+01:00,2025-03-01T05:55:00+01:00,1
Sprinter,NS,4308,SSH,Sassenheim,2025-03-01T06:02:00+01:00,2025-03-01T06:02:00+01:00,1
Sprinter,NS,4308,LEDN,Leiden Centraal,2025-03-01T06:07:00+01:00,2025-03-01T06:08:00+01:00,8a
Sprinter,NS,4308,DVNK,De Vink,2025-03-01T06:11:00+01:00,2025-03-01T06:11:00+01:00,2
Sprinter,NS,4308,VST,Voorschoten,2025-03-01T06:14:00+01:00,2025-03-01T06:14:00+01:00,2
Sprinter,NS,4308,GVM,Den Haag Mariahoeve,2025-03-01T06:19:00+01:00,2025-03-01T06:19:00+01:00,2
Sprinter,NS,4308,LAA,Den Haag Laan v NOI,2025-03-01T06:22:00+01:00,2025-03-01T06:23:00+01:00,5
Sprinter,NS,4308,GV,Den Haag HS,2025-03-01T06:25:00+01:00,2025-03-01T06:30:00+01:00,3
Sprinter,NS,4308,GVMW,Den Haag Moerwijk,2025-03-01T06:33:00+01:00,2025-03-01T06:33:00+01:00,1
Sprinter,NS,4308,RSW,Rijswijk,2025-03-01T06:36:00+01:00,2025-03-01T06:36:00+01:00,1
Sprinter,NS,4308,DT,Delft,2025-03-01T06:40:00+01:00,2025-03-01T06:40:00+01:00,4
Sprinter,NS,4308,DTCP,Delft Campus,2025-03-01T06:43:00+01:00,2025-03-01T06:43:00+01:00,4
Sprinter,NS,4308,SDM,Schiedam Centrum,2025-03-01T06:49:00+01:00,2025-03-01T06:49:00+01:00,3
Sprinter,NS,4308,RTD,Rotterdam Centraal,2025-03-01T06:53:00+01:00,2025-03-01T06:57:00+01:00,6
Sprinter,NS,4308,RTB,Rotterdam Blaak,2025-03-01T06:59:00+01:00,2025-03-01T06:59:00+01:00,3
Sprinter,NS,4308,RTZ,Rotterdam Zuid,2025-03-01T07:02:00+01:00,2025-03-01T07:02:00+01:00,3
Sprinter,NS,4308,RLB,Rotterdam Lombardijen,2025-03-01T07:06:00+01:00,2025-03-01T07:06:00+01:00,3
Sprinter,NS,4308,BRD,Barendrecht,2025-03-01T07:10:00+01:00,2025-03-01T07:10:00+01:00,3
Sprinter,NS,4308,ZWD,Zwijndrecht,2025-03-01T07:15:00+01:00,2025-03-01T07:15:00+01:00,3
Sprinter,NS,4308,DDR,Dordrecht,2025-03-01T07:19:00+01:00,,3a
Stopbus ipv trein,Eurobahn,966027,VL,Venlo,,2025-03-01T04:48:00+01:00,
Stopbus ipv trein,Eurobahn,966027,KN,Kaldenkirchen,2025-03-01T04:58:00+01:00,2025-03-01T04:58:00+01:00,
Stopbus ipv trein,Eurobahn,966027,KBRY,Breyell,2025-03-01T05:07:00+01:00,2025-03-01T05:07:00+01:00,
Stopbus ipv trein,Eurobahn,966027,KBOI,Boisheim,2025-03-01T05:15:00+01:00,2025-03-01T05:15:00+01:00,
Stopbus ipv trein,Eurobahn,966027,KDUL,Dülken,2025-03-01T05:26:00+01:00,2025-03-01T05:26:00+01:00,
Stopbus ipv trein,Eurobahn,966027,VIERS,Viersen,2025-03-01T05:39:00+01:00,2025-03-01T05:39:00+01:00,
Stopbus ipv trein,Eurobahn,966027,MCGB,Mönchengladbach Hbf,2025-03-01T05:56:00+01:00,,
Nachttrein,Arriva,32787,SHL,Schiphol Airport,,2025-03-01T04:49:00+01:00,2-Jan
Nachttrein,Arriva,32787,ASD,Amsterdam Centraal,2025-03-01T05:02:00+01:00,2025-03-01T05:11:00+01:00,
Nachttrein,Arriva,32787,ALM,Almere Centrum,2025-03-01T05:30:00+01:00,2025-03-01T05:35:00+01:00,3
Nachttrein,Arriva,32787,ASB,Amsterdam Bijlmer ArenA,2025-03-01T05:22:00+01:00,2025-03-01T05:25:00+01:00,8
Nachttrein,Arriva,32787,LLS,Lelystad Centrum,2025-03-01T05:48:00+01:00,2025-03-01T05:50:00+01:00,4
Nachttrein,Arriva,32787,ZL,Zwolle,2025-03-01T06:15:00+01:00,2025-03-01T06:17:00+01:00,6
Nachttrein,Arriva,32787,ASN,Assen,2025-03-01T06:55:00+01:00,2025-03-01T06:56:00+01:00,3
Nachttrein,Arriva,32787,GN,Groningen,2025-03-01T07:12:00+01:00,,6b
Sprinter,NS,5808,AMF,Amersfoort Centraal,,2025-03-01T04:49:00+01:00,6
Sprinter,NS,5808,BRN,Baarn,2025-03-01T04:56:00+01:00,2025-03-01T04:56:00+01:00,2
Sprinter,NS,5808,HVS,Hilversum,2025-03-01T05:02:00+01:00,2025-03-01T05:03:00+01:00,5
Sprinter,NS,5808,HVSM,Hilversum Media Park,2025-03-01T05:05:00+01:00,2025-03-01T05:05:00+01:00,2
Sprinter,NS,5808,BSMZ,Bussum Zuid,2025-03-01T05:09:00+01:00,2025-03-01T05:09:00+01:00,1
Sprinter,NS,5808,NDB,Naarden-Bussum,2025-03-01T05:12:00+01:00,2025-03-01T05:12:00+01:00,1
Sprinter,NS,5808,WP,Weesp,2025-03-01T05:18:00+01:00,2025-03-01T05:21:00+01:00,5
Sprinter,NS,5808,DMN,Diemen,2025-03-01T05:26:00+01:00,2025-03-01T05:26:00+01:00,2
Sprinter,NS,5808,ASSP,Amsterdam Science Park,2025-03-01T05:29:00+01:00,2025-03-01T05:29:00+01:00,2
Sprinter,NS,5808,ASDM,Amsterdam Muiderpoort,2025-03-01T05:31:00+01:00,2025-03-01T05:31:00+01:00,3
Sprinter,NS,5808,ASD,Amsterdam Centraal,2025-03-01T05:37:00+01:00,,11b
Nachttrein,Arriva,32712,SHL,Schiphol Airport,,2025-03-01T04:53:00+01:00,3
Nachttrein,Arriva,32712,ASD,Amsterdam Centraal,2025-03-01T05:06:00+01:00,2025-03-01T05:09:00+01:00,4a
Nachttrein,Arriva,32712,ASB,Amsterdam Bijlmer ArenA,2025-03-01T05:19:00+01:00,2025-03-01T05:20:00+01:00,8
Nachttrein,Arriva,32712,UT,Utrecht Centraal,2025-03-01T05:39:00+01:00,2025-03-01T05:43:00+01:00,15
Nachttrein,Arriva,32712,HT,'s-Hertogenbosch,2025-03-01T06:10:00+01:00,2025-03-01T06:13:00+01:00,6a
Nachttrein,Arriva,32712,EHV,Eindhoven Centraal,2025-03-01T06:31:00+01:00,2025-03-01T06:32:00+01:00,2
Nachttrein,Arriva,32712,WT,Weert,2025-03-01T06:48:00+01:00,2025-03-01T06:50:00+01:00,3b
Nachttrein,Arriva,32712,RM,Roermond,2025-03-01T07:02:00+01:00,2025-03-01T07:03:00+01:00,1
Nachttrein,Arriva,32712,STD,Sittard,2025-03-01T07:16:00+01:00,2025-03-01T07:17:00+01:00,3b
Nachttrein,Arriva,32712,MT,Maastricht,2025-03-01T07:30:00+01:00,,3
Snelbus ipv trein,Eurobahn,966036,VL,Venlo,,2025-03-01T04:54:00+01:00,
Snelbus ipv trein,Eurobahn,966036,VIERS,Viersen,2025-03-01T05:20:00+01:00,2025-03-01T05:20:00+01:00,
Snelbus ipv trein,Eurobahn,966036,MCGB,Mönchengladbach Hbf,2025-03-01T05:37:00+01:00,,
Stopbus ipv trein,NS,927080,GVC,Den Haag Centraal,,2025-03-01T04:59:00+01:00,
Stopbus ipv trein,NS,927080,LAA,Den Haag Laan v NOI,2025-03-01T05:05:00+01:00,,
Stopbus ipv trein,VIAS,960072,OBERH,Oberhausen Hbf,,2025-03-01T05:00:00+01:00,
Stopbus ipv trein,VIAS,960072,WESEL,Wesel,2025-03-01T05:45:00+01:00,2025-03-01T05:47:00+01:00,
Stopbus ipv trein,VIAS,960072,EM,Emmerich,2025-03-01T06:32:00+01:00,2025-03-01T06:34:00+01:00,
Stopbus ipv trein,VIAS,960072,EL,Emmerich-Elten,2025-03-01T06:47:00+01:00,2025-03-01T06:47:00+01:00,
Stopbus ipv trein,VIAS,960072,ZV,Zevenaar,2025-03-01T06:59:00+01:00,2025-03-01T06:59:00+01:00,
Stopbus ipv trein,VIAS,960072,AH,Arnhem Centraal,2025-03-01T07:29:00+01:00,,
Sprinter,NS,5117,GV,Den Haag HS,,2025-03-01T05:01:00+01:00,3
Sprinter,NS,5117,GVMW,Den Haag Moerwijk,2025-03-01T05:04:00+01:00,2025-03-01T05:04:00+01:00,1
Sprinter,NS,5117,RSW,Rijswijk,2025-03-01T05:07:00+01:00,2025-03-01T05:07:00+01:00,1
Sprinter,NS,5117,DT,Delft,2025-03-01T05:11:00+01:00,2025-03-01T05:11:00+01:00,4
Sprinter,NS,5117,DTCP,Delft Campus,2025-03-01T05:14:00+01:00,2025-03-01T05:14:00+01:00,4
Sprinter,NS,5117,SDM,Schiedam Centrum,2025-03-01T05:21:00+01:00,2025-03-01T05:21:00+01:00,3
Sprinter,NS,5117,RTD,Rotterdam Centraal,2025-03-01T05:25:00+01:00,2025-03-01T05:27:00+01:00,7
Sprinter,NS,5117,RTB,Rotterdam Blaak,2025-03-01T05:30:00+01:00,2025-03-01T05:30:00+01:00,3
Sprinter,NS,5117,RTZ,Rotterdam Zuid,2025-03-01T05:33:00+01:00,2025-03-01T05:33:00+01:00,3
Sprinter,NS,5117,RLB,Rotterdam Lombardijen,2025-03-01T05:36:00+01:00,2025-03-01T05:36:00+01:00,3
Sprinter,NS,5117,BRD,Barendrecht,2025-03-01T05:40:00+01:00,2025-03-01T05:40:00+01:00,3
Sprinter,NS,5117,ZWD,Zwijndrecht,2025-03-01T05:45:00+01:00,2025-03-01T05:45:00+01:00,3
Sprinter,NS,5117,DDR,Dordrecht,2025-03-01T05:49:00+01:00,,3a
Intercity,NS,1422,RTD,Rotterdam Centraal,,2025-03-01T05:02:00+01:00,7
Intercity,NS,1422,DT,Delft,2025-03-01T05:14:00+01:00,2025-03-01T05:14:00+01:00,1
Intercity,NS,1422,GV,Den Haag HS,2025-03-01T05:21:00+01:00,2025-03-01T05:22:00+01:00,6
Intercity,NS,1422,LEDN,Leiden Centraal,2025-03-01T05:36:00+01:00,2025-03-01T05:43:00+01:00,5b
Intercity,NS,1422,SHL,Schiphol Airport,2025-03-01T05:59:00+01:00,2025-03-01T06:03:00+01:00,2-Jan
Intercity,NS,1422,ASD,Amsterdam Centraal,2025-03-01T06:17:00+01:00,2025-03-01T06:27:00+01:00,8b
Intercity,NS,1422,UT,Utrecht Centraal,2025-03-01T06:51:00+01:00,,15
Sprinter,NS,4317,GV,Den Haag HS,,2025-03-01T05:02:00+01:00,5
Sprinter,NS,4317,LAA,Den Haag Laan v NOI,2025-03-01T05:04:00+01:00,2025-03-01T05:11:00+01:00,4
Sprinter,NS,4317,GVM,Den Haag Mariahoeve,2025-03-01T05:14:00+01:00,2025-03-01T05:14:00+01:00,4
Sprinter,NS,4317,VST,Voorschoten,2025-03-01T05:19:00+01:00,2025-03-01T05:19:00+01:00,4
Sprinter,NS,4317,DVNK,De Vink,2025-03-01T05:22:00+01:00,2025-03-01T05:22:00+01:00,4
Sprinter,NS,4317,LEDN,Leiden Centraal,2025-03-01T05:26:00+01:00,2025-03-01T05:35:00+01:00,4a
Sprinter,NS,4317,SSH,Sassenheim,2025-03-01T05:40:00+01:00,2025-03-01T05:40:00+01:00,2
Sprinter,NS,4317,NVP,Nieuw Vennep,2025-03-01T05:47:00+01:00,2025-03-01T05:47:00+01:00,2
Sprinter,NS,4317,HFD,Hoofddorp,2025-03-01T05:51:00+01:00,2025-03-01T05:51:00+01:00,4
Sprinter,NS,4317,SHL,Schiphol Airport,2025-03-01T05:56:00+01:00,2025-03-01T05:57:00+01:00,2-Jan
Sprinter,NS,4317,ASDZ,Amsterdam Zuid,2025-03-01T06:02:00+01:00,2025-03-01T06:03:00+01:00,1
Sprinter,NS,4317,RAI,Amsterdam RAI,2025-03-01T06:06:00+01:00,2025-03-01T06:06:00+01:00,1
Sprinter,NS,4317,DVD,Duivendrecht,2025-03-01T06:10:00+01:00,2025-03-01T06:10:00+01:00,1
Sprinter,NS,4317,DMNZ,Diemen Zuid,2025-03-01T06:12:00+01:00,2025-03-01T06:12:00+01:00,1
Sprinter,NS,4317,WP,Weesp,2025-03-01T06:19:00+01:00,2025-03-01T06:29:00+01:00,1
Sprinter,NS,4317,AMPO,Almere Poort,2025-03-01T06:35:00+01:00,2025-03-01T06:35:00+01:00,2
Sprinter,NS,4317,ALMM,Almere Muziekwijk,2025-03-01T06:39:00+01:00,2025-03-01T06:39:00+01:00,2
Sprinter,NS,4317,ALM,Almere Centrum,2025-03-01T06:42:00+01:00,2025-03-01T06:43:00+01:00,4
Sprinter,NS,4317,ALMP,Almere Parkwijk,2025-03-01T06:46:00+01:00,2025-03-01T06:46:00+01:00,2
Sprinter,NS,4317,ALMB,Almere Buiten,2025-03-01T06:50:00+01:00,2025-03-01T06:50:00+01:00,2
Sprinter,NS,4317,ALMO,Almere Oostvaarders,2025-03-01T06:52:00+01:00,2025-03-01T06:52:00+01:00,4
Sprinter,NS,4317,LLS,Lelystad Centrum,2025-03-01T07:03:00+01:00,,3
Sprinter,NS,4019,AMR,Alkmaar,,2025-03-01T05:02:00+01:00,1
Sprinter,NS,4019,HLO,Heiloo,2025-03-01T05:07:00+01:00,2025-03-01T05:07:00+01:00,2
